Timestamp,People Count,Limit Threshold,Density Level,Overcrowded,Zone Distribution
2026-06-15 10:29:20,2,8,Medium,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:1,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:29:22,1,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:15,0,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:17,1,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:1,Zone R3C3:0"
2026-07-13 15:35:19,1,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:1,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:21,0,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:23,0,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:25,0,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:28,0,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-07-13 15:35:30,0,5,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
